Nr;TotalArea;Area;DeltaArea;DeltaMolecules;Pressure;Tension;Mode;Time;Temp;Potential;Radioactivity;area_mols
1;16450.1;529.26;-2991.99;-5.6429;34.2103;37.8897;2;0.25;23.1219;-2499.91;0.0;529.26
2;16372.7;526.769;-10733.8;-20.2439;34.2142;37.8858;2;0.89;23.1311;-2499.9;0.0;526.769
3;16302.7;524.519;-17727.5;-33.4342;34.2553;37.8447;2;1.47;23.125;-2499.91;0.0;524.519
4;16237.6;522.425;-24235.3;-45.7077;34.3354;37.7645;2;2.01;23.1246;-2499.9;0.0;522.425
5;16179.7;520.56;-30032.2;-56.6408;34.4348;37.6652;2;2.49;23.1109;-2499.92;0.0;520.56
6;16124.3;518.779;-35567.4;-67.0801;34.5394;37.5606;2;2.95;23.1117;-2499.9;0.0;518.779
7;16074.6;517.179;-40541.6;-76.4615;34.6369;37.4631;2;3.36;23.1048;-2499.89;0.0;517.179
8;16027.8;515.675;-45216.6;-85.2785;34.7237;37.3763;2;3.75;23.104;-2499.89;0.0;515.675
9;15981.8;514.195;-49816.8;-93.9545;34.8022;37.2978;2;4.13;23.0983;-2499.92;0.0;514.195
10;15943.3;512.955;-53668.9;-101.22;34.8799;37.2201;2;4.46;23.104;-2499.96;0.0;512.955
11;15903.3;511.668;-57670.8;-108.767;34.9531;37.1469;2;4.78;23.112;-2499.9;0.0;511.668
12;15867.4;510.513;-61261.2;-115.539;35.0167;37.0833;2;5.08;23.1075;-2499.89;0.0;510.513
13;15831.1;509.345;-64889.1;-122.381;35.0757;37.0243;2;5.38;23.0903;-2499.92;0.0;509.345
14;15798.6;508.298;-68142.8;-128.517;35.1326;36.9674;2;5.65;23.0884;-2499.92;0.0;508.298
15;15767.2;507.288;-71284.4;-134.442;35.1801;36.9199;2;5.91;23.0891;-2499.91;0.0;507.288
16;15735.7;506.277;-74426.0;-140.367;35.2159;36.8841;2;6.17;23.0948;-2499.92;0.0;506.277
17;15708.8;505.411;-77118.8;-145.446;35.2518;36.8482;2;6.39;23.1013;-2499.89;0.0;505.411
18;15682.3;504.556;-79774.2;-150.454;35.2824;36.8176;2;6.61;23.1021;-2499.91;0.0;504.556
19;15654.6;503.666;-82541.8;-155.674;35.3012;36.7988;2;6.84;23.112;-2499.93;0.0;503.666
20;15625.4;502.727;-85459.0;-161.176;35.3179;36.7821;2;7.08;23.1067;-2499.9;0.0;502.727
21;15597.7;501.837;-88226.6;-166.395;35.3356;36.7644;2;7.31;23.1017;-2499.89;0.0;501.837
22;15568.6;500.898;-91143.8;-171.897;35.3239;36.7761;2;7.55;23.1036;-2499.91;0.0;500.898
23;15540.9;500.008;-93911.3;-177.117;35.4023;36.6977;2;7.78;23.0914;-2499.94;0.0;500.008
24;15514.3;499.153;-96566.8;-182.125;35.413;36.687;2;8.0;23.1017;-2499.93;0.0;499.153
25;15487.8;498.299;-99222.2;-187.133;35.4186;36.6814;2;8.22;23.1059;-2499.91;0.0;498.299
26;15461.2;497.445;-101878.0;-192.141;35.4331;36.6669;2;8.44;23.0979;-2499.93;0.0;497.445
27;15434.3;496.578;-104570.0;-197.22;35.4338;36.6661;2;8.66;23.0914;-2499.91;0.0;496.578
28;15407.7;495.724;-107226.0;-202.228;35.4897;36.6103;2;8.88;23.091;-2499.92;0.0;495.724
29;15381.2;494.87;-109881.0;-207.236;35.4516;36.6484;2;9.1;23.0968;-2499.91;0.0;494.87
30;15354.6;494.015;-112537.0;-212.244;35.5175;36.5825;2;9.32;23.1002;-2499.91;0.0;494.015
31;15328.1;493.161;-115192.0;-217.252;35.5149;36.5851;2;9.54;23.0861;-2499.9;0.0;493.161
32;15298.9;492.222;-118109.0;-222.754;35.524;36.576;2;9.78;23.0884;-2499.89;0.0;492.222
33;15272.4;491.368;-120765.0;-227.762;35.5499;36.5501;2;10.0;23.0849;-2499.94;0.0;491.368
34;15244.7;490.478;-123532.0;-232.982;35.533;36.567;2;10.23;23.0842;-2499.94;0.0;490.478
35;15218.1;489.623;-126188.0;-237.99;35.5595;36.5405;2;10.45;23.0823;-2499.93;0.0;489.623
36;15189.0;488.685;-129105.0;-243.492;35.5605;36.5395;2;10.69;23.0697;-2499.91;0.0;488.685
37;15161.3;487.794;-131872.0;-248.712;35.5787;36.5213;2;10.92;23.0823;-2499.9;0.0;487.794
38;15134.7;486.94;-134528.0;-253.72;35.5881;36.5119;2;11.14;23.0666;-2499.9;0.0;486.94
39;15105.6;486.001;-137445.0;-259.221;35.5758;36.5242;2;11.38;23.0853;-2499.89;0.0;486.001
40;15079.0;485.147;-140100.0;-264.229;35.6067;36.4933;2;11.6;23.0948;-2499.89;0.0;485.147
41;15050.9;484.245;-142905.0;-269.52;35.6032;36.4968;2;11.83;23.0964;-2499.9;0.0;484.245
42;15022.1;483.318;-145785.0;-274.951;35.6334;36.4666;2;12.07;23.0823;-2499.94;0.0;483.318
43;14995.6;482.464;-148441.0;-279.959;35.6372;36.4628;2;12.29;23.0819;-2499.92;0.0;482.464
44;14969.0;481.609;-151096.0;-284.967;35.6397;36.4603;2;12.51;23.0784;-2499.93;0.0;481.609
45;14942.1;480.743;-153789.0;-290.046;35.6633;36.4367;2;12.73;23.0857;-2499.93;0.0;480.743
46;14915.9;479.901;-156407.0;-294.983;35.6573;36.4427;2;12.95;23.0865;-2499.93;0.0;479.901
47;14887.9;478.998;-159212.0;-300.274;35.6819;36.4181;2;13.18;23.0861;-2499.92;0.0;478.998
48;14861.3;478.144;-161867.0;-305.282;35.6702;36.4298;2;13.4;23.0754;-2499.89;0.0;478.144
49;14832.5;477.217;-164747.0;-310.713;35.7041;36.3959;2;13.64;23.0784;-2499.92;0.0;477.217
50;14806.0;476.363;-167402.0;-315.721;35.7156;36.3844;2;13.86;23.0907;-2499.89;0.0;476.363
51;14778.3;475.473;-170170.0;-320.941;35.7173;36.3827;2;14.09;23.0987;-2499.89;0.0;475.473
52;14749.1;474.534;-173087.0;-326.442;35.7493;36.3507;2;14.33;23.0819;-2499.92;0.0;474.534
53;14721.5;473.644;-175855.0;-331.662;35.7538;36.3462;2;14.56;23.0761;-2499.94;0.0;473.644
54;14692.7;472.717;-178735.0;-337.094;35.7687;36.3313;2;14.8;23.0777;-2499.94;0.0;472.717
55;14663.5;471.778;-181652.0;-342.596;35.7838;36.3162;2;15.04;23.101;-2499.9;0.0;471.778
56;14638.1;470.96;-184195.0;-347.392;35.8011;36.2989;2;15.26;23.0975;-2499.94;0.0;470.96
57;14611.5;470.106;-186850.0;-352.4;35.803;36.297;2;15.47;23.0823;-2499.92;0.0;470.106
58;14584.9;469.251;-189506.0;-357.408;35.8207;36.2793;2;15.69;23.0868;-2499.91;0.0;469.251
59;14556.1;468.325;-192386.0;-362.839;35.8347;36.2653;2;15.93;23.0792;-2499.89;0.0;468.325
60;14527.0;467.386;-195303.0;-368.341;35.8358;36.2642;2;16.17;23.0731;-2499.91;0.0;467.386
61;14499.3;466.496;-198070.0;-373.561;35.8581;36.2419;2;16.4;23.1006;-2499.89;0.0;466.496
62;14470.5;465.569;-200950.0;-378.992;35.8746;36.2254;2;16.64;23.0884;-2499.91;0.0;465.569
63;14443.9;464.715;-203606.0;-384.0;35.8784;36.2216;2;16.86;23.0926;-2499.9;0.0;464.715
64;14416.3;463.825;-206373.0;-389.22;35.901;36.199;2;17.09;23.0876;-2499.92;0.0;463.825
65;14387.1;462.886;-209290.0;-394.722;35.9112;36.1888;2;17.33;23.0956;-2499.93;0.0;462.886
66;14359.4;461.996;-212058.0;-399.942;35.9231;36.1769;2;17.56;23.0803;-2499.92;0.0;461.996
67;14332.9;461.141;-214713.0;-404.95;35.933;36.167;2;17.78;23.0926;-2499.93;0.0;461.141
68;14306.3;460.287;-217369.0;-409.958;35.9518;36.1482;2;18.0;23.0845;-2499.93;0.0;460.287
69;14279.8;459.433;-220024.0;-414.966;35.9578;36.1422;2;18.22;23.0811;-2499.92;0.0;459.433
70;14253.2;458.578;-222680.0;-419.974;35.9724;36.1276;2;18.44;23.0952;-2499.95;0.0;458.578
71;14226.7;457.724;-225335.0;-424.982;35.9849;36.1151;2;18.66;23.1013;-2499.9;0.0;457.724
72;14200.1;456.87;-227990.0;-429.99;35.998;36.102;2;18.88;23.0952;-2499.93;0.0;456.87
73;14173.5;456.015;-230646.0;-434.998;36.0092;36.0908;2;19.1;23.0826;-2499.92;0.0;456.015
74;14144.7;455.089;-233526.0;-440.429;36.0188;36.0812;2;19.34;23.1094;-2499.93;0.0;455.089
75;14118.2;454.234;-236181.0;-445.438;36.0334;36.0666;2;19.56;23.0891;-2499.91;0.0;454.234
76;14091.3;453.368;-238874.0;-450.516;36.0456;36.0544;2;19.78;23.1055;-2499.94;0.0;453.368
77;14064.7;452.514;-241529.0;-455.524;36.0564;36.0436;2;20.0;23.1166;-2499.94;0.0;452.514
78;14037.0;451.623;-244297.0;-460.744;36.0749;36.0251;2;20.23;23.1082;-2499.94;0.0;451.623
79;14007.9;450.685;-247214.0;-466.246;36.0834;36.0166;2;20.47;23.1013;-2499.91;0.0;450.685
80;13980.2;449.794;-249982.0;-471.465;36.0884;36.0116;2;20.7;23.1086;-2499.91;0.0;449.794
81;13953.6;448.94;-252637.0;-476.473;36.105;35.995;2;20.92;23.1067;-2499.9;0.0;448.94
82;13924.5;448.001;-255554.0;-481.975;36.1141;35.9859;2;21.16;23.096;-2499.94;0.0;448.001
83;13896.8;447.111;-258322.0;-487.195;36.1198;35.9802;2;21.39;23.1055;-2499.97;0.0;447.111
84;13867.6;446.172;-261239.0;-492.697;36.1367;35.9633;2;21.63;23.1002;-2499.89;0.0;446.172
85;13841.1;445.318;-263894.0;-497.705;36.1494;35.9506;2;21.85;23.091;-2499.89;0.0;445.318
86;13814.5;444.464;-266550.0;-502.713;36.1574;35.9426;2;22.07;23.0929;-2499.91;0.0;444.464
87;13787.9;443.609;-269205.0;-507.721;36.1715;35.9285;2;22.29;23.0941;-2499.94;0.0;443.609
88;13761.4;442.755;-271861.0;-512.729;36.1912;35.9088;2;22.51;23.1052;-2499.91;0.0;442.755
89;13734.8;441.901;-274516.0;-517.737;36.1981;35.9019;2;22.73;23.1075;-2499.93;0.0;441.901
90;13707.9;441.034;-277209.0;-522.816;36.2141;35.8859;2;22.95;23.1155;-2499.9;0.0;441.034
91;13681.7;440.192;-279827.0;-527.753;36.228;35.872;2;23.17;23.1174;-2499.89;0.0;440.192
92;13654.8;439.326;-282520.0;-532.832;36.2304;35.8696;2;23.39;23.1315;-2499.91;0.0;439.326
93;13628.6;438.483;-285138.0;-537.77;36.2483;35.8517;2;23.61;23.1128;-2499.9;0.0;438.483
94;13602.1;437.629;-287793.0;-542.778;36.2589;35.8411;2;23.83;23.0991;-2499.92;0.0;437.629
95;13575.5;436.775;-290448.0;-547.786;36.2741;35.8259;2;24.05;23.1021;-2499.92;0.0;436.775
96;13549.0;435.92;-293104.0;-552.794;36.2813;35.8186;2;24.27;23.1193;-2499.88;0.0;435.92
97;13522.0;435.054;-295797.0;-557.873;36.2931;35.8069;2;24.49;23.1147;-2499.89;0.0;435.054
98;13497.0;434.248;-298302.0;-562.598;36.3028;35.7972;2;24.7;23.1174;-2499.93;0.0;434.248
99;13470.4;433.393;-300958.0;-567.607;36.3113;35.7887;2;24.92;23.1269;-2499.94;0.0;433.393
100;13441.6;432.467;-303838.0;-573.038;36.3323;35.7677;2;25.16;23.1105;-2499.94;0.0;432.467
101;13412.5;431.528;-306755.0;-578.54;36.339;35.761;2;25.4;23.1174;-2499.93;0.0;431.528
102;13384.8;430.638;-309522.0;-583.76;36.3562;35.7438;2;25.63;23.1086;-2499.93;0.0;430.638
103;13355.6;429.699;-312440.0;-589.261;36.3698;35.7302;2;25.87;23.1227;-2499.94;0.0;429.699
104;13329.1;428.845;-315095.0;-594.269;36.3845;35.7155;2;26.09;23.1262;-2499.98;0.0;428.845
105;13302.5;427.99;-317750.0;-599.277;36.3956;35.7044;2;26.31;23.125;-2499.92;0.0;427.99
106;13276.3;427.148;-320368.0;-604.215;36.4093;35.6907;2;26.53;23.1284;-2499.93;0.0;427.148
107;13221.7;425.391;-325829.0;-614.514;36.4205;35.6795;2;26.98;23.1235;-2499.92;0.0;425.391
108;13191.4;424.417;-328858.0;-620.227;36.428;35.672;2;27.23;23.1136;-2499.94;0.0;424.417
109;13162.6;423.49;-331738.0;-625.658;36.4398;35.6602;2;27.47;23.1307;-2499.91;0.0;423.49
110;13134.9;422.6;-334506.0;-630.878;36.4476;35.6524;2;27.7;23.1262;-2499.94;0.0;422.6
111;13105.8;421.661;-337423.0;-636.38;36.4641;35.6359;2;27.94;23.1174;-2499.91;0.0;421.661
112;13078.1;420.771;-340190.0;-641.599;36.4715;35.6285;2;28.17;23.1243;-2499.91;0.0;420.771
113;13046.7;419.76;-343332.0;-647.524;36.4875;35.6125;2;28.43;23.1243;-2499.95;0.0;419.76
114;13019.0;418.87;-346100.0;-652.744;36.5018;35.5982;2;28.66;23.1361;-2499.93;0.0;418.869
115;12990.2;417.943;-348979.0;-658.175;36.5136;35.5864;2;28.9;23.1426;-2499.93;0.0;417.943
116;12962.2;417.04;-351784.0;-663.466;36.5318;35.5682;2;29.13;23.1262;-2499.9;0.0;417.04
117;12933.4;416.114;-354664.0;-668.897;36.5437;35.5563;2;29.37;23.1246;-2499.93;0.0;416.114
118;12905.3;415.211;-357469.0;-674.187;36.5569;35.5431;2;29.6;23.133;-2499.93;0.0;415.211
119;12876.5;414.285;-360349.0;-679.618;36.5698;35.5302;2;29.84;23.1399;-2499.95;0.0;414.285
120;12848.8;413.395;-363117.0;-684.838;36.5831;35.5169;2;30.07;23.138;-2499.95;0.0;413.394
121;12818.5;412.42;-366146.0;-690.552;36.5926;35.5074;2;30.32;23.1342;-2499.91;0.0;412.42
122;12789.4;411.481;-369063.0;-696.054;36.6068;35.4932;2;30.56;23.1452;-2499.9;0.0;411.481
123;12760.2;410.543;-371980.0;-701.555;36.6206;35.4794;2;30.8;23.1456;-2499.9;0.0;410.543
124;12730.3;409.58;-374972.0;-707.198;36.6294;35.4706;2;31.05;23.1483;-2499.92;0.0;409.58
125;12700.0;408.605;-378002.0;-712.912;36.6455;35.4545;2;31.3;23.1384;-2499.93;0.0;408.605
126;12671.9;407.703;-380807.0;-718.202;36.6574;35.4426;2;31.53;23.1296;-2499.89;0.0;407.703
127;12643.1;406.776;-383687.0;-723.633;36.6698;35.4302;2;31.77;23.1357;-2499.91;0.0;406.776
128;12615.1;405.874;-386492.0;-728.923;36.6857;35.4143;2;32.0;23.1422;-2499.91;0.0;405.874
129;12583.7;404.863;-389633.0;-734.848;36.7024;35.3976;2;32.26;23.1422;-2499.92;0.0;404.863
130;12525.7;402.998;-395430.0;-745.782;36.7153;35.3847;2;32.74;23.1433;-2499.91;0.0;402.998
131;12496.9;402.071;-398310.0;-751.213;36.7299;35.3701;2;32.98;23.1399;-2499.92;0.0;402.071
132;12466.6;401.097;-401339.0;-756.926;36.7464;35.3536;2;33.23;23.1426;-2499.94;0.0;401.097
133;12438.9;400.206;-404107.0;-762.146;36.7573;35.3427;2;33.46;23.133;-2499.97;0.0;400.206
134;12407.5;399.196;-407249.0;-768.071;36.7692;35.3308;2;33.72;23.1422;-2499.95;0.0;399.196
135;12379.8;398.305;-410016.0;-773.291;36.7818;35.3181;2;33.95;23.151;-2499.93;0.0;398.305
136;12350.7;397.367;-412933.0;-778.793;36.7939;35.3061;2;34.19;23.1582;-2499.94;0.0;397.367
137;12323.0;396.476;-415701.0;-784.012;36.8053;35.2947;2;34.42;23.1681;-2499.92;0.0;396.476
138;12293.8;395.538;-418618.0;-789.514;36.8197;35.2803;2;34.66;23.1659;-2499.93;0.0;395.538
139;12266.1;394.647;-421386.0;-794.734;36.8318;35.2682;2;34.89;23.1647;-2499.9;0.0;394.647
140;12235.8;393.672;-424415.0;-800.447;36.8446;35.2554;2;35.14;23.1552;-2499.9;0.0;393.672
141;12207.1;392.746;-427295.0;-805.878;36.8618;35.2382;2;35.38;23.151;-2499.94;0.0;392.746
142;12179.4;391.855;-430063.0;-811.098;36.8783;35.2217;2;35.61;23.1479;-2499.94;0.0;391.855
143;12148.0;390.845;-433204.0;-817.023;36.8931;35.2069;2;35.87;23.1529;-2499.94;0.0;390.845
144;12117.7;389.87;-436234.0;-822.737;36.9118;35.1882;2;36.12;23.1586;-2499.92;0.0;389.87
145;12087.7;388.907;-439226.0;-828.38;36.9277;35.1723;2;36.37;23.162;-2499.94;0.0;388.907
146;12059.7;388.005;-442031.0;-833.67;36.9412;35.1588;2;36.6;23.1601;-2499.91;0.0;388.005
147;12029.8;387.042;-445023.0;-839.313;36.9577;35.1423;2;36.85;23.1655;-2499.92;0.0;387.042
148;12000.6;386.104;-447940.0;-844.815;36.9729;35.1271;2;37.09;23.1742;-2499.94;0.0;386.104
149;11970.7;385.141;-450932.0;-850.458;36.9856;35.1144;2;37.34;23.1788;-2499.91;0.0;385.141
150;11941.5;384.203;-453849.0;-855.96;37.0008;35.0992;2;37.58;23.1659;-2499.93;0.0;384.203
151;11913.8;383.312;-456617.0;-861.179;37.0166;35.0834;2;37.81;23.1697;-2499.93;0.0;383.312
152;11885.0;382.386;-459496.0;-866.61;37.0298;35.0702;2;38.05;23.18;-2499.94;0.0;382.386
153;11857.0;381.483;-462301.0;-871.901;37.0426;35.0574;2;38.28;23.1685;-2499.94;0.0;381.483
154;11828.2;380.557;-465181.0;-877.332;37.0578;35.0422;2;38.52;23.1651;-2499.93;0.0;380.557
155;11797.9;379.582;-468211.0;-883.045;37.0725;35.0275;2;38.77;23.172;-2499.95;0.0;379.582
156;11769.1;378.655;-471090.0;-888.477;37.0887;35.0113;2;39.01;23.1742;-2499.92;0.0;378.655
157;11738.8;377.681;-474120.0;-894.19;37.1048;34.9952;2;39.26;23.1842;-2499.94;0.0;377.681
158;11678.6;375.743;-480141.0;-905.547;37.121;34.979;2;39.76;23.1754;-2499.94;0.0;375.743
159;11650.5;374.841;-482946.0;-910.837;37.1359;34.9641;2;39.99;23.1773;-2499.93;0.0;374.841
160;11621.7;373.914;-485826.0;-916.268;37.1535;34.9465;2;40.23;23.1731;-2499.9;0.0;373.914
161;11592.6;372.976;-488743.0;-921.77;37.1682;34.9318;2;40.47;23.1811;-2499.93;0.0;372.976
162;11564.9;372.085;-491511.0;-926.99;37.1834;34.9166;2;40.7;23.1704;-2499.94;0.0;372.085
163;11535.7;371.147;-494428.0;-932.491;37.2001;34.8999;2;40.94;23.1739;-2499.93;0.0;371.147
164;11505.4;370.172;-497457.0;-938.205;37.2154;34.8846;2;41.19;23.1784;-2499.94;0.0;370.172
165;11477.8;369.282;-500225.0;-943.425;37.2286;34.8714;2;41.42;23.1674;-2499.99;0.0;369.282
166;11448.6;368.343;-503142.0;-948.926;37.2434;34.8566;2;41.66;23.1636;-2499.94;0.0;368.343
167;11420.9;367.453;-505910.0;-954.146;37.2597;34.8403;2;41.89;23.1659;-2499.94;0.0;367.453
168;11391.7;366.514;-508827.0;-959.648;37.2716;34.8284;2;42.13;23.1777;-2499.94;0.0;366.514
169;11361.4;365.539;-511856.0;-965.362;37.2906;34.8094;2;42.38;23.1868;-2499.95;0.0;365.539
170;11331.5;364.577;-514848.0;-971.004;37.3081;34.7919;2;42.63;23.1792;-2499.93;0.0;364.577
171;11302.3;363.638;-517766.0;-976.506;37.3247;34.7753;2;42.87;23.1761;-2499.92;0.0;363.638
172;11274.7;362.748;-520533.0;-981.726;37.3414;34.7586;2;43.1;23.1815;-2499.93;0.0;362.748
173;11244.4;361.773;-523563.0;-987.439;37.3609;34.7391;2;43.35;23.1819;-2499.95;0.0;361.773
174;11214.1;360.798;-526592.0;-993.153;37.3774;34.7226;2;43.6;23.1865;-2499.93;0.0;360.798
175;11184.9;359.86;-529509.0;-998.655;37.3912;34.7088;2;43.84;23.1918;-2499.96;0.0;359.86
176;11156.1;358.933;-532389.0;-1004.09;37.4112;34.6888;2;44.08;23.2006;-2499.93;0.0;358.933
177;11125.8;357.959;-535418.0;-1009.8;37.4235;34.6765;2;44.33;23.188;-2499.94;0.0;357.959
178;11095.5;356.984;-538448.0;-1015.51;37.4376;34.6624;2;44.58;23.196;-2499.89;0.0;356.984
179;11065.6;356.021;-541440.0;-1021.16;37.4533;34.6467;2;44.83;23.1907;-2499.92;0.0;356.021
180;11037.9;355.131;-544207.0;-1026.38;37.4667;34.6333;2;45.06;23.1895;-2499.98;0.0;355.131
181;11006.1;354.108;-547387.0;-1032.37;37.4827;34.6173;2;45.32;23.2021;-2499.95;0.0;354.108
182;10978.5;353.218;-550154.0;-1037.59;37.502;34.598;2;45.55;23.1956;-2499.95;0.0;353.218
183;10948.5;352.255;-553146.0;-1043.23;37.5198;34.5802;2;45.8;23.2101;-2499.96;0.0;352.255
184;10919.4;351.316;-556063.0;-1048.74;37.5359;34.5641;2;46.04;23.1994;-2499.94;0.0;351.316
185;10891.7;350.426;-558831.0;-1053.96;37.5577;34.5423;2;46.27;23.1857;-2499.93;0.0;350.426
186;10861.4;349.451;-561860.0;-1059.67;37.5745;34.5255;2;46.52;23.1884;-2499.94;0.0;349.451
187;10830.0;348.441;-565002.0;-1065.59;37.593;34.507;2;46.78;23.1941;-2499.95;0.0;348.441
188;10800.1;347.478;-567994.0;-1071.24;37.6133;34.4867;2;47.03;23.1926;-2499.93;0.0;347.478
189;10772.0;346.575;-570799.0;-1076.53;37.6341;34.4659;2;47.26;23.1903;-2499.92;0.0;346.575
190;10742.1;345.613;-573791.0;-1082.17;37.6512;34.4488;2;47.51;23.2029;-2499.94;0.0;345.613
191;10712.9;344.674;-576708.0;-1087.67;37.6686;34.4314;2;47.75;23.2036;-2499.96;0.0;344.674
192;10683.0;343.712;-579700.0;-1093.31;37.6875;34.4125;2;48.0;23.1994;-2499.94;0.0;343.712
193;10623.5;341.798;-585647.0;-1104.53;37.7025;34.3975;2;48.49;23.2067;-2499.94;0.0;341.798
194;10593.6;340.836;-588639.0;-1110.17;37.7225;34.3775;2;48.74;23.2196;-2499.92;0.0;340.836
195;10562.2;339.825;-591780.0;-1116.1;37.7461;34.3539;2;49.0;23.22;-2499.94;0.0;339.825
196;10533.4;338.898;-594660.0;-1121.53;37.7653;34.3347;2;49.24;23.2116;-2499.92;0.0;338.898
197;10504.2;337.96;-597577.0;-1127.03;37.7847;34.3153;2;49.48;23.2101;-2499.94;0.0;337.96
198;10473.9;336.985;-600607.0;-1132.74;37.8067;34.2933;2;49.73;23.1907;-2499.95;0.0;336.985
199;10444.0;336.023;-603599.0;-1138.39;37.826;34.274;2;49.98;23.2021;-2499.93;0.0;336.023
200;10416.3;335.132;-606366.0;-1143.61;37.8432;34.2568;2;50.21;23.2078;-2499.94;0.0;335.132
201;10386.0;334.157;-609396.0;-1149.32;37.8662;34.2338;2;50.46;23.217;-2499.97;0.0;334.157
202;10356.9;333.219;-612313.0;-1154.82;37.8847;34.2153;2;50.7;23.2094;-2499.93;0.0;333.219
203;10326.6;332.244;-615342.0;-1160.54;37.902;34.198;2;50.95;23.2105;-2499.91;0.0;332.244
204;10297.8;331.318;-618222.0;-1165.97;37.9224;34.1776;2;51.19;23.2143;-2499.95;0.0;331.318
205;10269.7;330.415;-621027.0;-1171.26;37.9429;34.1571;2;51.42;23.2296;-2499.96;0.0;330.415
206;10240.9;329.489;-623907.0;-1176.69;37.9619;34.1381;2;51.66;23.2078;-2499.91;0.0;329.489
207;10212.9;328.586;-626712.0;-1181.98;37.9831;34.1169;2;51.89;23.2177;-2499.94;0.0;328.586
208;10184.1;327.66;-629592.0;-1187.41;38.0069;34.0931;2;52.13;23.2128;-2499.94;0.0;327.66
209;10156.0;326.757;-632397.0;-1192.7;38.0256;34.0744;2;52.36;23.2204;-2499.93;0.0;326.757
210;10124.6;325.746;-635538.0;-1198.63;38.0475;34.0525;2;52.62;23.2223;-2499.9;0.0;325.746
211;10096.9;324.856;-638306.0;-1203.85;38.0706;34.0294;2;52.85;23.2261;-2499.93;0.0;324.856
212;10067.8;323.917;-641223.0;-1209.35;38.0897;34.0103;2;53.09;23.2277;-2499.94;0.0;323.917
213;10037.8;322.955;-644215.0;-1214.99;38.1086;33.9914;2;53.34;23.2055;-2499.9;0.0;322.955
214;10007.6;321.98;-647244.0;-1220.7;38.1315;33.9684;2;53.59;23.2193;-2499.92;0.0;321.98
215;9977.26;321.005;-650274.0;-1226.42;38.15;33.95;2;53.84;23.22;-2499.98;0.0;321.005
216;9948.09;320.067;-653191.0;-1231.92;38.1685;33.9315;2;54.08;23.2284;-2499.95;0.0;320.067
217;9920.41;319.176;-655959.0;-1237.14;38.1927;33.9073;2;54.31;23.2288;-2499.94;0.0;319.176
218;9890.12;318.202;-658988.0;-1242.85;38.2131;33.8869;2;54.56;23.2338;-2499.94;0.0;318.202
219;9859.83;317.227;-662017.0;-1248.57;38.2322;33.8678;2;54.81;23.2376;-2499.94;0.0;317.227
220;9831.03;316.3;-664897.0;-1254.0;38.2584;33.8416;2;55.05;23.2342;-2499.96;0.0;316.3
221;9802.98;315.398;-667702.0;-1259.29;38.2814;33.8186;2;55.28;23.2322;-2499.95;0.0;315.398
222;9774.18;314.472;-670582.0;-1264.72;38.303;33.797;2;55.52;23.2486;-2499.95;0.0;314.472
223;9746.13;313.569;-673387.0;-1270.01;38.3263;33.7737;2;55.75;23.2448;-2499.97;0.0;313.569
224;9687.04;311.668;-679296.0;-1281.15;38.3508;33.7492;2;56.24;23.2425;-2499.94;0.0;311.668
225;9656.74;310.693;-682326.0;-1286.87;38.3699;33.7301;2;56.49;23.2399;-2499.94;0.0;310.693
226;9626.45;309.718;-685355.0;-1292.58;38.3913;33.7087;2;56.74;23.2406;-2499.94;0.0;309.718
227;9596.53;308.756;-688347.0;-1298.22;38.4139;33.6861;2;56.99;23.2456;-2499.92;0.0;308.756
228;9563.99;307.709;-691601.0;-1304.36;38.4331;33.6669;2;57.26;23.2429;-2499.97;0.0;307.709
229;9534.82;306.77;-694518.0;-1309.86;38.4534;33.6466;2;57.5;23.2513;-2499.92;0.0;306.77
230;9508.27;305.916;-697173.0;-1314.87;38.4779;33.6221;2;57.72;23.246;-2499.95;0.0;305.916
231;9480.59;305.026;-699941.0;-1320.09;38.4998;33.6002;2;57.95;23.2387;-2499.97;0.0;305.026
